Max,Min,Mean,Std,RMS,Skewness,Kurtosis,Crest Factor,Form Factor,Fault
1.2819999999999998,-1.396,-0.1153921875,0.1032238359494575,0.15482246921121054,0.028320915393182638,8.422105438631558,8.280451839655656,-1.3417066836627096,Roller Element
1.152,-1.108,-0.11456171875,0.10775617355167162,0.1572743252374851,0.10344838989259143,7.95775208636856,7.324781068114415,-1.3728348959279657,Roller Element
0.972,-1.27,-0.11221708984374998,0.10919396494091728,0.1565739922179367,-0.08823513037764398,7.721261620878701,6.207927550618143,-1.3952776037584724,Roller Element
0.945,-1.147,-0.113798876953125,0.10268112331541372,0.15327453365127433,-0.0011670938709887984,5.874304265884468,6.165407765324121,-1.3468896860415396,Roller Element
1.096,-1.228,-0.114493896484375,0.10691031649969142,0.1566464490812531,0.11415710906948345,6.6826069977039175,6.996647587150222,-1.3681641894564285,Roller Element
1.409,-1.426,-0.11544384765625,0.11115868831639886,0.16025895487362787,0.14746500445355454,10.581374583154556,8.792020396682771,-1.3881983156938864,Roller Element
1.172,-1.37,-0.1156482421875,0.10881125336412026,0.15878862257780388,0.058811336154860026,9.373472634269923,7.380881457207294,-1.3730310082911643,Roller Element
1.294,-1.548,-0.113610791015625,0.1109578780284495,0.15880321588983368,0.12765071766242864,11.868592413833074,8.148449593726648,-1.3977828555739331,Roller Element
1.16,-1.086,-0.114725341796875,0.10409856604718014,0.154912512009047,0.15665829742832796,7.628095832132425,7.48809753941796,-1.350290263535015,Roller Element
0.825,-1.091,-0.114332861328125,0.104683125011425,0.15501620804244753,0.126197242604366,6.283684837469442,5.322024131657853,-1.3558324898172975,Roller Element
1.277,-1.277,-0.11508525390625,0.10820513682658477,0.15796327296390372,-0.009619889298030085,8.860545595969743,8.08415764018645,-1.3725761346678067,Roller Element
0.947,-1.321,-0.114352197265625,0.10685347011421363,0.15650409448892025,-0.0639516925067746,7.424908580825872,6.050959900394447,-1.3686146679401532,Roller Element
0.95,-1.653,-0.114424560546875,0.10875867734237486,0.15786339788747145,0.07301709926028435,9.204965781780533,6.017861092013116,-1.379628614110354,Roller Element
1.096,-1.27,-0.114225341796875,0.1067736360636383,0.15635690389773127,-0.0347005505514281,9.335022484866489,7.009604134377482,-1.368846014711675,Roller Element
0.7709999999999999,-1.045,-0.114614990234375,0.10727635152430808,0.15698487079398168,0.009572350002652734,5.0807788513655066,4.911301299931113,-1.3696713708474342,Roller Element
0.935,-1.265,-0.114478125,0.10917680430553488,0.15819049810720698,-0.0078529204091746,7.006875773399613,5.910595207598012,-1.381840400576153,Roller Element
1.13,-1.3130000000000002,-0.113968994140625,0.1113830562936828,0.1593565533135816,0.15575181788304776,9.40424709521072,7.09101682047796,-1.3982447990806466,Roller Element
1.111,-1.23,-0.1146681640625,0.10571087707912083,0.15595842951979622,-0.02093735465826947,7.1831509316654225,7.123693175295651,-1.3600848221027673,Roller Element
0.989,-1.23,-0.114680224609375,0.10879373825644133,0.15807293717394158,0.1055845611473292,7.27111813406567,6.2566054486082985,-1.3783800800213926,Roller Element
0.913,-1.487,-0.1143861328125,0.1085197096938912,0.15767098574593155,0.007250893383405169,6.877225361896949,5.790539049912412,-1.3784099686662492,Roller Element
1.038,-1.575,-0.114851025390625,0.11314072605263199,0.16121711101730368,-0.08057540392397892,9.307746155267925,6.438522520655947,-1.403706327122295,Roller Element
1.028,-1.318,-0.114743603515625,0.11393102031326495,0.1616964382253537,0.03424706687513147,8.133936259275549,6.35759211076309,-1.4091978399766307,Roller Element
